timestamp,open,high,low,close,volume
2022-01-19,6.7500,7.0300,6.5950,6.8900,145984
2022-01-18,7.1600,7.1600,6.5700,6.5900,168473
2022-01-14,7.2700,7.4600,7.1100,7.3200,144235
2022-01-13,7.4000,7.4900,7.3100,7.4100,50653
2022-01-12,7.8000,7.8000,7.3900,7.4500,94062
2022-01-11,7.4300,7.8200,7.3325,7.7600,197633
2022-01-10,7.5900,7.6600,7.2700,7.5000,113076
2022-01-07,7.0700,7.7600,6.9000,7.7000,206056
2022-01-06,7.3800,7.7100,6.8100,6.9100,151393
2022-01-05,7.9600,7.9600,7.4000,7.4400,171504
2022-01-04,8.4000,8.4000,7.9600,7.9900,122339
2022-01-03,7.7000,8.3100,7.5200,8.2600,433225
2021-12-31,7.4500,7.7900,7.4500,7.6800,63207
2021-12-30,7.1800,7.5100,7.1600,7.4600,106068
2021-12-29,7.3300,7.4200,7.0700,7.1900,177211
2021-12-28,7.4600,7.6500,7.1700,7.3400,150410
2021-12-27,7.8700,7.8700,7.4100,7.4600,187525
2021-12-23,7.6100,7.8300,7.4700,7.8200,152128
2021-12-22,6.9200,7.7200,6.8600,7.5900,189075
2021-12-21,6.8700,7.1700,6.7700,6.9200,147409
2021-12-20,6.8000,7.2400,6.5750,6.7400,149710
2021-12-17,6.5800,6.8600,6.4300,6.8000,466028
2021-12-16,6.8000,7.1298,6.5900,6.6300,222123
2021-12-15,6.3100,6.8200,6.2750,6.7900,407700
2021-12-14,6.4000,6.8100,6.2900,6.4000,381145
2021-12-13,6.5200,6.8500,6.3300,6.5400,144871
2021-12-10,6.5000,6.6500,6.4900,6.5400,104820
2021-12-09,6.5900,7.0950,6.5450,6.6300,171043
2021-12-08,6.4600,6.7200,6.0200,6.7000,160202
2021-12-07,6.3100,7.0300,6.1700,6.4600,189093
2021-12-06,6.1500,6.3300,5.9150,6.2300,234692
2021-12-03,6.7200,6.8400,6.1900,6.2000,180728
2021-12-02,6.7000,6.8900,6.5700,6.8000,414341
2021-12-01,6.9000,7.1800,6.6200,6.6500,286164
2021-11-30,6.8600,6.9600,6.5601,6.7000,364339
2021-11-29,7.1200,7.7250,6.8760,6.9500,186497
2021-11-26,6.9900,7.1950,6.9550,7.0500,72732
2021-11-24,7.4100,7.4500,6.7800,7.2600,194355
2021-11-23,7.3100,7.4800,7.0000,7.1000,147631
2021-11-22,7.6200,7.6800,6.9200,7.2700,370829
2021-11-19,7.8100,7.9800,7.6100,7.6700,167626
2021-11-18,8.4200,8.4200,7.6800,7.7200,389477
2021-11-17,8.7300,8.7900,8.3600,8.4200,159821
2021-11-16,8.9200,9.0100,8.4100,8.7700,295415
2021-11-15,9.0000,9.6500,8.6800,8.9500,352753
2021-11-12,8.5100,8.8400,8.2200,8.5000,401420
2021-11-11,8.7500,8.7500,8.3464,8.4700,144881
2021-11-10,8.5300,9.1900,8.3500,8.6800,201928
2021-11-09,9.0000,9.0100,8.5000,8.5700,272570
2021-11-08,9.3800,9.3800,8.7800,8.8800,282556
2021-11-05,9.4100,9.6900,9.2001,9.3900,246042
2021-11-04,9.3200,9.3700,9.0500,9.3000,155861
2021-11-03,9.1700,9.4000,9.0400,9.2700,102544
2021-11-02,9.3200,9.6450,9.0400,9.1700,70277
2021-11-01,9.2800,9.5900,8.9300,9.2300,126636
2021-10-29,8.8700,9.3800,8.8200,9.2700,100526
2021-10-28,8.9200,8.9700,8.7700,8.8700,70634
2021-10-27,8.8900,9.0300,8.7200,8.7600,82305
2021-10-26,8.7200,9.0102,8.6000,8.9300,150833
2021-10-25,8.5000,8.8600,8.4700,8.6900,99845
2021-10-22,8.7400,8.7400,8.3200,8.5000,95811
2021-10-21,8.4100,8.7700,8.2325,8.7500,129343
